07 Apr 12:43:55,133 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:43:55,346 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:44:00,470 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:44:00,735 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:44:03,908 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:44:04,152 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:44:04,309 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:44:12,558 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:44:20,887 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:44:33,108 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:44:43,381 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:44:48,548 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:44:53,882 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:45:02,008 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:45:10,223 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:45:10,407 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:45:10,664 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:45:10,820 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:45:15,940 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:45:16,132 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:45:18,231 INFO - element not visible
  (Session info: chrome=49.0.2623.110)
  (Driver info: chromedriver=2.20.353145 (343b531d31eeb933ec778dbcf7081628a1396067),platform=Windows NT 6.1 SP1 x86_64) (WARNING: The server did not provide any stacktrace information)
Command duration or timeout: 17 milliseconds
Build info: version: '2.46.0', revision: '61506a4624b13675f24581e453592342b7485d71', time: '2015-06-04 10:22:50'
System info: host: 'HW0380', ip: '172.16.29.255', os.name: 'Windows 7', os.arch: 'amd64', os.version: '6.1', java.version: '1.7.0_71'
Session ID: fa5805e8be705606bfbd8b31d5c94677
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities [{platform=XP, acceptSslCerts=true, javascriptEnabled=true, browserName=chrome, chrome={userDataDir=C:\Users\in01994\AppData\Local\Temp\scoped_dir113488_17242}, rotatable=false, locationContextEnabled=true, mobileEmulationEnabled=false, version=49.0.2623.110, takesHeapSnapshot=true, cssSelectorsEnabled=true, databaseEnabled=false, handlesAlerts=true, browserConnectionEnabled=false, webStorageEnabled=true, nativeEvents=true, hasTouchScreen=false, applicationCacheEnabled=false, takesScreenshot=true}] 
07 Apr 12:45:18,231 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:45:18,370 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:45:26,480 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:45:31,607 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:45:39,728 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:45:44,860 INFO - resultDir = results\CHROME-windows 7-local 
